1801,112,4
1802,112,4
1804,145,4
1805,145,4
1806,145,4
1807,145,4
1808,145,4
1809,60,0
1810,145,4
1811,60,0
1812,85,4
1813,289,15
1814,155,7
1815,10,0
1817,8,0
1818,8,0
1820,21,0
1834,112,4
1835,112,4
1843,64,4
1846,88,0
1847,29,0
1851,184,0
1852,183,0
1853,124,0
1854,124,0
1855,48,0
1856,32,0
1857,32,0
1860,124,0
1861,31,1
1869,207,1
1870,88,1
1888,58,1
1902,39,1
1903,39,1
1904,39,1
1905,39,1
1906,39,1
1907,38,2
1908,30,1
1909,24,1
1960,10,0
1964,10,0
1965,248,0
1966,60,0
1967,32,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1976,32,0
1977,32,0
1982,0,0
2001,2848,85
2002,1581,72
2003,1145,60
2004,1145,60
2005,1175,60
2006,1547,63
2007,639,5
2008,3684,110
2009,642,8
2010,2445,81
2011,2962,97
2012,2433,50
2013,2127,48
2014,2438,45
2015,2103,58
2016,236,7
2017,458,26
2018,1134,32
2019,671,23
2020,894,29
2021,132,14
2022,132,14
2023,132,14
2024,489,8
2025,489,8
2026,489,8
2027,489,8
2028,697,14
2029,539,12
2030,540,11
2031,540,11
2033,92,2
2037,544,4
2038,545,3
2039,894,10
2040,308,0
2041,306,2
2042,306,2
2043,833,8
2044,306,2
2045,306,2
2046,609,7
2047,609,7
2048,1026,12
2049,315,5
2050,315,5
2051,315,5
2052,465,13
2053,254,9
2054,254,9
2055,286,12
2056,75,1
2058,756,48
2059,1228,54
2060,559,30
2061,828,32
2062,832,32
2063,421,9
2064,860,36
2065,317,10
2066,156,5
2067,250,11
2068,163,10
2069,163,10
2070,1209,34
2071,129,3
2072,257,6
2073,257,6
2074,257,6
2075,237,5
2079,54,1
2080,56,0
2081,367,7
2082,367,7
2083,1107,19
2084,574,6
2085,574,6
2087,483,7
2088,621,10
2090,486,9
2091,486,9
2092,486,9
2093,486,9
2094,486,9
2095,486,9
2096,930,9
2097,2987,42
2098,1751,14
2099,402,2
2100,1822,17
2101,1318,11
2102,1546,52
2103,764,6
2104,709,10
2106,302,4
2107,932,8
2109,868,19
2110,700,17
2111,700,17
2112,700,17
2113,773,15
2114,421,14
2115,421,14
2116,451,14
2117,140,2
2118,282,5
2119,281,6
2123,277,4
2124,452,3
2125,173,2
2127,114,2
2128,629,7
2129,127,2
2130,724,7
2131,4271,66
2132,1305,49
2133,1305,49
2134,1121,49
2138,934,7
2139,409,5
2140,933,8
2141,175,1
2142,175,1
2143,1350,8
2144,1350,8
2145,1410,8
2146,1352,51
2147,771,4
2148,1884,63
2149,998,48
2150,323,0
2151,118,0
2152,118,0
2153,244,2
2155,126,2
2156,28,0
2157,28,0
2159,28,0
2160,114,4
2161,114,4
2162,231,4
2163,114,4
2164,231,4
2165,231,4
2166,147,1
2167,147,1
2168,146,2
2169,146,2
2170,72,1
2171,72,1
2172,72,1
2173,72,1
2174,217,2
2175,217,2
2177,72,1
2178,72,1
2179,72,1
2180,72,1
2181,72,1
2182,36,0
2185,137,3
2186,137,3
2187,137,3
2188,373,7
2189,196,3
2190,344,10
2191,252,8
2192,252,8
2193,106,4
2194,177,5
2195,177,5
2198,283,14
2199,209,13
2200,209,13
2201,209,13
2205,703,60
2206,456,19
2207,383,18
2208,383,18
2209,383,18
2212,283,14
2213,283,14
2214,283,14
2215,208,6
2216,116,4
2217,116,4
2218,116,4
2219,56,0
2220,598,11
2221,231,4
2237,72,3
2239,63,2
2241,33,2
2242,17,1
2247,196,3
2248,170,2
2249,456,19
2250,275,1
2251,215,1
2252,297,2
2253,182,1
2256,199,5
2257,116,4
2258,283,14
2262,325,5
2263,331,5
2264,236,4
2265,236,4
2266,138,2
2267,138,2
2268,138,2
2269,272,3
2270,175,1
2271,170,2
2274,170,2
